level_1,level_2,level_3,level_4,level_5
Xe Cộ,Ô tô,,,
Xe Cộ,Xe máy,Xe tay ga,,
Xe Cộ,Xe máy,Xe số,,
Xe Cộ,Xe máy,Xe côn tay,,
Xe Cộ,Xe máy,Xe mô tô,,
Xe Cộ,Xe máy,Xe máy điện,,
Xe Cộ,Xe máy,Xe điện thăng bằng,,
Xe Cộ,"Xe tải, xe ben",Xe tải,,
Xe Cộ,"Xe tải, xe ben",Xe ben,,
Xe Cộ,Xe đạp,Xe đạp phổ thông,,
Xe Cộ,Xe đạp,Xe đạp thể thao,,
Xe Cộ,Xe đạp,Xe đạp trẻ em,,
Xe Cộ,Xe đạp,Xe đạp gấp,,
Xe Cộ,Xe đạp,Xe đạp biểu diễn (BMX),,
Xe Cộ,Xe đạp,Xe đạp không phanh (Fixed Gear),,
Xe Cộ,Xe đạp,Xe đạp điện,,
Xe Cộ,Xe đạp,Xe đạp khác,,
Xe Cộ,Phương tiện khác,Xe điện thăng bằng,,
Xe Cộ,Phương tiện khác,Xe Scooter điện,,
Xe Cộ,Phương tiện khác,Phương tiện khác,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Bơm xe đạp,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Khoá xe đạp,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Săm - Vỏ xe đạp,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Yên xe đạp,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Đèn xe đạp,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Bộ dụng cụ sửa chữa xe đạp,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Phụ tùng & phụ kiện xe đạp khác,,
Xe Cộ,"Phụ tùng & phụ kiện xe tải, xe ben",Lốp xe tải,,
Xe Cộ,"Phụ tùng & phụ kiện xe tải, xe ben",Thùng xe tải,,
Xe Cộ,"Phụ tùng & phụ kiện xe tải, xe ben",Mâm mooc,,
Xe Cộ,"Phụ tùng & phụ kiện xe tải, xe ben","Phụ tùng & phụ kiện xe tải, xe ben khác",,
Xe Cộ,Phụ kiện xe máy,Baga - Hộp chứa đồ xe máy,,
Xe Cộ,Phụ kiện xe máy,Bạt trùm xe máy,,
Xe Cộ,Phụ kiện xe máy,Khóa chống trộm xe máy,,
Xe Cộ,Phụ kiện xe máy,Gương xe máy,,
Xe Cộ,Phụ kiện xe máy,Kính chắn gió xe máy,,
Xe Cộ,Phụ kiện xe máy,"Vỏ nhựa, dàn áo xe máy",,
Xe Cộ,Phụ kiện xe máy,Yên xe bọc yên xe máy,,
Xe Cộ,Phụ kiện xe máy,Lót sàn,,
Xe Cộ,Phụ kiện xe máy,Đồng hồ đo,,
Xe Cộ,Phụ kiện xe máy,Tấm chắn bùn,,
Xe Cộ,Phụ kiện xe máy,Giá đỡ điện thoại,,
Xe Cộ,Phụ kiện xe máy,Đồ bảo hộ xe máy,,
Xe Cộ,Phụ kiện xe máy,Ốc vít - Phụ kiện trang trí xe máy,,
Xe Cộ,Phụ kiện xe máy,Mũ bảo hiểm,,
Xe Cộ,Phụ kiện xe máy,Pin xe điện,,
Xe Cộ,Phụ kiện xe máy,Sạc xe điện,,
Xe Cộ,Phụ kiện xe máy,Phụ kiện xe máy khác,,
Xe Cộ,Phụ tùng xe máy,"Bộ bánh, lốp xe máy",,
Xe Cộ,Phụ tùng xe máy,Bộ ly hợp,,
Xe Cộ,Phụ tùng xe máy,Phanh xe máy,,
Xe Cộ,Phụ tùng xe máy,"Bộ phận khác cho lốp, mâm xe",,
Xe Cộ,Phụ tùng xe máy,Bộ tản nhiệt,,
Xe Cộ,Phụ tùng xe máy,Chân chống & phụ kiện,,
Xe Cộ,Phụ tùng xe máy,Còi xe máy,,
Xe Cộ,Phụ tùng xe máy,Dây curoa,,
Xe Cộ,Phụ tùng xe máy,Hộp đánh lửa - Hộp đen,,
Xe Cộ,Phụ tùng xe máy,Khung - Thân xe máy,,
Xe Cộ,Phụ tùng xe máy,Khung biển số xe máy,,
Xe Cộ,Phụ tùng xe máy,Lọc gió xe máy,,
Xe Cộ,Phụ tùng xe máy,Mâm xe máy,,
Xe Cộ,Phụ tùng xe máy,Phuộc nhún - Giảm xóc,,
Xe Cộ,Phụ tùng xe máy,Phụ tùng nhông xích,,
Xe Cộ,Phụ tùng xe máy,Pô xe máy (Ống xả),,
Xe Cộ,Phụ tùng xe máy,Vít lốp xe,,
Xe Cộ,Phụ tùng xe máy,Vòng bi,,
Xe Cộ,Phụ tùng xe máy,Đèn xe máy,,
Xe Cộ,Phụ tùng xe máy,Đùm xe máy,,
Xe Cộ,Phụ tùng xe máy,Ắc quy xe máy,,
Xe Cộ,Phụ tùng xe máy,Phụ tùng cho xe máy khác,,
Xe Cộ,Chăm sóc xe máy,Chất tẩy rửa và vệ sinh xe,,
Xe Cộ,Chăm sóc xe máy,Dung dịch vệ sinh xe,,
Xe Cộ,Chăm sóc xe máy,Dầu bôi trơn dung môi,,
Xe Cộ,Chăm sóc xe máy,Dầu hộp số,,
Xe Cộ,Chăm sóc xe máy,Dầu nhớt,,
Xe Cộ,Chăm sóc xe máy,Dầu thắng,,
Xe Cộ,Chăm sóc xe máy,Mỡ bôi trơn,,
Xe Cộ,Chăm sóc xe máy,Nước làm mát,,
Xe Cộ,Chăm sóc xe máy,Chất phụ gia xe máy khác,,
Xe Cộ,Phụ kiện nội thất ô tô,Bọc cần số,,
Xe Cộ,Phụ kiện nội thất ô tô,Bộ chuyển đổi âm thanh,,
Xe Cộ,Phụ kiện nội thất ô tô,Bộ dụng cụ sơ cứu,,
Xe Cộ,Phụ kiện nội thất ô tô,Bộ khuếch đại âm thanh,,
Xe Cộ,Phụ kiện nội thất ô tô,Camera ô tô,,
Xe Cộ,Phụ kiện nội thất ô tô,Chân ga và cần số,,
Xe Cộ,Phụ kiện nội thất ô tô,"Cốc sạc USB, thiết bị thu phát FM & Bluetooth",,
Xe Cộ,Phụ kiện nội thất ô tô,Dụng cụ chứa,,
Xe Cộ,Phụ kiện nội thất ô tô,Dụng cụ thoát hiểm,,
Xe Cộ,Phụ kiện nội thất ô tô,Ghế - Bao ghế,,
Xe Cộ,Phụ kiện nội thất ô tô,Giá đỡ điện thoại,,
Xe Cộ,Phụ kiện nội thất ô tô,Gạt tàn ô tô,,
