level_1,level_2,level_3,level_4,level_5,level_1_id,level_2_id,level_3_id,level_4_id,level_5_id
Xe Cộ,Ô tô,,,,1,16,,,
Xe Cộ,Xe máy,Xe tay ga,,,1,17,196.0,,
Xe Cộ,Xe máy,Xe số,,,1,17,197.0,,
Xe Cộ,Xe máy,Xe côn tay,,,1,17,198.0,,
Xe Cộ,Xe máy,Xe mô tô,,,1,17,199.0,,
Xe Cộ,Xe máy,Xe máy điện,,,1,17,200.0,,
Xe Cộ,Xe máy,Xe điện thăng bằng,,,1,17,201.0,,
Xe Cộ,"Xe tải, xe ben",Xe tải,,,1,18,202.0,,
Xe Cộ,"Xe tải, xe ben",Xe ben,,,1,18,203.0,,
Xe Cộ,Xe đạp,Xe đạp phổ thông,,,1,19,204.0,,
Xe Cộ,Xe đạp,Xe đạp thể thao,,,1,19,205.0,,
Xe Cộ,Xe đạp,Xe đạp trẻ em,,,1,19,206.0,,
Xe Cộ,Xe đạp,Xe đạp gấp,,,1,19,207.0,,
Xe Cộ,Xe đạp,Xe đạp biểu diễn (BMX),,,1,19,208.0,,
Xe Cộ,Xe đạp,Xe đạp không phanh (Fixed Gear),,,1,19,209.0,,
Xe Cộ,Xe đạp,Xe đạp điện,,,1,19,210.0,,
Xe Cộ,Xe đạp,Xe đạp khác,,,1,19,211.0,,
Xe Cộ,Phương tiện khác,Xe điện thăng bằng,,,1,20,201.0,,
Xe Cộ,Phương tiện khác,Xe Scooter điện,,,1,20,212.0,,
Xe Cộ,Phương tiện khác,Phương tiện khác,,,1,20,20.0,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Bơm xe đạp,,,1,21,213.0,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Khoá xe đạp,,,1,21,214.0,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Săm - Vỏ xe đạp,,,1,21,215.0,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Yên xe đạp,,,1,21,216.0,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Đèn xe đạp,,,1,21,217.0,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Bộ dụng cụ sửa chữa xe đạp,,,1,21,218.0,,
Xe Cộ,Phụ tùng & phụ kiện xe đạp,Phụ tùng & phụ kiện xe đạp khác,,,1,21,219.0,,
Xe Cộ,"Phụ tùng & phụ kiện xe tải, xe ben",Lốp xe tải,,,1,22,220.0,,
Xe Cộ,"Phụ tùng & phụ kiện xe tải, xe ben",Thùng xe tải,,,1,22,221.0,,
Xe Cộ,"Phụ tùng & phụ kiện xe tải, xe ben",Mâm mooc,,,1,22,222.0,,
Xe Cộ,"Phụ tùng & phụ kiện xe tải, xe ben","Phụ tùng & phụ kiện xe tải, xe ben khác",,,1,22,223.0,,
Xe Cộ,Phụ kiện xe máy,Baga - Hộp chứa đồ xe máy,,,1,23,224.0,,
Xe Cộ,Phụ kiện xe máy,Bạt trùm xe máy,,,1,23,225.0,,
Xe Cộ,Phụ kiện xe máy,Khóa chống trộm xe máy,,,1,23,226.0,,
Xe Cộ,Phụ kiện xe máy,Gương xe máy,,,1,23,227.0,,
Xe Cộ,Phụ kiện xe máy,Kính chắn gió xe máy,,,1,23,228.0,,
Xe Cộ,Phụ kiện xe máy,"Vỏ nhựa, dàn áo xe máy",,,1,23,229.0,,
Xe Cộ,Phụ kiện xe máy,Yên xe bọc yên xe máy,,,1,23,230.0,,
Xe Cộ,Phụ kiện xe máy,Lót sàn,,,1,23,231.0,,
Xe Cộ,Phụ kiện xe máy,Đồng hồ đo,,,1,23,232.0,,
Xe Cộ,Phụ kiện xe máy,Tấm chắn bùn,,,1,23,233.0,,
Xe Cộ,Phụ kiện xe máy,Giá đỡ điện thoại,,,1,23,234.0,,
Xe Cộ,Phụ kiện xe máy,Đồ bảo hộ xe máy,,,1,23,235.0,,
Xe Cộ,Phụ kiện xe máy,Ốc vít - Phụ kiện trang trí xe máy,,,1,23,236.0,,
Xe Cộ,Phụ kiện xe máy,Mũ bảo hiểm,,,1,23,237.0,,
Xe Cộ,Phụ kiện xe máy,Pin xe điện,,,1,23,238.0,,
Xe Cộ,Phụ kiện xe máy,Sạc xe điện,,,1,23,239.0,,
Xe Cộ,Phụ kiện xe máy,Phụ kiện xe máy khác,,,1,23,240.0,,
Xe Cộ,Phụ tùng xe máy,"Bộ bánh, lốp xe máy",,,1,24,241.0,,
Xe Cộ,Phụ tùng xe máy,Bộ ly hợp,,,1,24,242.0,,
Xe Cộ,Phụ tùng xe máy,Phanh xe máy,,,1,24,243.0,,
Xe Cộ,Phụ tùng xe máy,"Bộ phận khác cho lốp, mâm xe",,,1,24,244.0,,
Xe Cộ,Phụ tùng xe máy,Bộ tản nhiệt,,,1,24,245.0,,
Xe Cộ,Phụ tùng xe máy,Chân chống & phụ kiện,,,1,24,246.0,,
Xe Cộ,Phụ tùng xe máy,Còi xe máy,,,1,24,247.0,,
Xe Cộ,Phụ tùng xe máy,Dây curoa,,,1,24,248.0,,
Xe Cộ,Phụ tùng xe máy,Hộp đánh lửa - Hộp đen,,,1,24,249.0,,
Xe Cộ,Phụ tùng xe máy,Khung - Thân xe máy,,,1,24,250.0,,
Xe Cộ,Phụ tùng xe máy,Khung biển số xe máy,,,1,24,251.0,,
Xe Cộ,Phụ tùng xe máy,Lọc gió xe máy,,,1,24,252.0,,
Xe Cộ,Phụ tùng xe máy,Mâm xe máy,,,1,24,253.0,,
Xe Cộ,Phụ tùng xe máy,Phuộc nhún - Giảm xóc,,,1,24,254.0,,
Xe Cộ,Phụ tùng xe máy,Phụ tùng nhông xích,,,1,24,255.0,,
Xe Cộ,Phụ tùng xe máy,Pô xe máy (Ống xả),,,1,24,256.0,,
Xe Cộ,Phụ tùng xe máy,Vít lốp xe,,,1,24,257.0,,
Xe Cộ,Phụ tùng xe máy,Vòng bi,,,1,24,258.0,,
Xe Cộ,Phụ tùng xe máy,Đèn xe máy,,,1,24,259.0,,
Xe Cộ,Phụ tùng xe máy,Đùm xe máy,,,1,24,260.0,,
Xe Cộ,Phụ tùng xe máy,Ắc quy xe máy,,,1,24,261.0,,
Xe Cộ,Phụ tùng xe máy,Phụ tùng cho xe máy khác,,,1,24,262.0,,
